"","Tip","Ecto_spp","type","trait","Plot","Site","Salix.spp","Ind","Plspp","mean","...1","Ecto_ID","Species","Rhizomorph","Foraging_distance","Genus","em_expl","Ectomycorrhiza_exploration_type_template"
"122",1085,"Cenococcum_geophilum","r_false","rhizomorphs",12,"49","PED","49PED1","49PED",0.1,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"123",1196,"Cenococcum_geophilum","r_false","rhizomorphs",1,"AS1","HUM","AS1HUM1","AS1HUM",-1.3,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"124",1198,"Cenococcum_geophilum","r_false","rhizomorphs",1,"AS1","HUM","AS1HUM1","AS1HUM",-1.3,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"125",1202,"Cenococcum_geophilum","r_false","rhizomorphs",1,"AS1","HUM","AS1HUM1","AS1HUM",-1.3,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"126",1206,"Cenococcum_geophilum","r_false","rhizomorphs",1,"AS1","HUM","AS1HUM1","AS1HUM",-1.3,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"127",1216,"Cenococcum_geophilum","r_false","rhizomorphs",1,"AS1","HUM","AS1HUM2","AS1HUM",-1.3,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"128",1220,"Cenococcum_geophilum","r_false","rhizomorphs",1,"AS1","HUM","AS1HUM3","AS1HUM",-1.3,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"129",1225,"Cenococcum_geophilum","r_false","rhizomorphs",1,"AS1","HUM","AS1HUM3","AS1HUM",-1.3,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"130",1227,"Cenococcum_geophilum","r_false","rhizomorphs",1,"AS1","HUM","AS1HUM3","AS1HUM",-1.3,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"131",1354,"Cenococcum_geophilum","r_false","rhizomorphs",3,"AS3","PET","AS3PET2","AS3PET",-0.9,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"132",1359,"Cenococcum_geophilum","r_false","rhizomorphs",3,"AS3","PET","AS3PET2","AS3PET",-0.9,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"133",194,"Russula_nigricans","r_true","rhizomorphs",2,"10","PET","10PET1","10PET",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"134",195,"Russula_nigricans","r_true","rhizomorphs",2,"10","PET","10PET1","10PET",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"135",197,"Russula_nigricans","r_true","rhizomorphs",2,"10","PET","10PET1","10PET",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"136",198,"Russula_nigricans","r_true","rhizomorphs",2,"10","PET","10PET1","10PET",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"137",254,"Russula_nigricans","r_true","rhizomorphs",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"138",255,"Russula_nigricans","r_true","rhizomorphs",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"139",256,"Russula_nigricans","r_true","rhizomorphs",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"140",257,"Russula_nigricans","r_true","rhizomorphs",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"141",259,"Russula_nigricans","r_true","rhizomorphs",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"142",260,"Russula_nigricans","r_true","rhizomorphs",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"143",261,"Russula_nigricans","r_true","rhizomorphs",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
